FIRM,Class,Start,End,TOD,FIRMF,Length,Night,Gap,WS,Idx,Base,StartAdj,LenAdj,Comp,Trans,Press,P1S,P1L,P2S,P2L,MalAdj,NFZ,WNFZ,AFZ,WAFZ,MFZ,WMFZ,NBad,TIW,RIW,HIW,SIW,CCW
5,2,1185,1750,1530,2,565,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,4,400,1,525,1,0,1,0,0,0,0,0,925,1,0,2,0.00
3,0,480,1140,-1,3,660,0,990,0,5,6.00,0.00,0.00,0.00,0.00,-3.00,4,480,4,480,0,0,0,0,1,0,0,0,1980,0,0,1,0.00
4,0,450,1120,-1,4,670,0,999,1,1,6.00,-0.50,0.00,0.00,0.00,0.00,3,660,4,480,1,0,0,0,1,0,0,0,0,0,0,0,0.00
2,0,1200,1860,-1,2,660,1,999,1,1,3.00,0.00,0.00,0.00,-1.00,0.00,4,665,5,480,1,0,1,0,0,0,0,0,1145,0,0,2,0.00
3,2,905,1624,1530,-1,719,0,635,0,2,6.00,0.00,0.00,-0.50,-2.00,-0.67,2,585,5,480,1,0,1,0,1,0,0,0,1620,1,0,3,2.00
2,0,325,1045,-1,2,720,0,999,0,2,6.00,-3.50,0.00,0.00,0.00,-0.67,5,580,4,610,0,0,0,0,1,0,0,0,1890,1,0,2,0.00
5,0,775,1075,-1,5,300,0,999,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,5,610,5,600,1,0,0,0,1,0,0,0,1720,0,0,1,0.00
5,1,1200,1530,1530,5,330,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,-4,480,0,615,1,0,0,0,0,0,0,0,2585,0,2,4,1.00
2,0,1270,1855,-1,2,585,1,999,1,1,3.00,0.00,0.00,0.00,0.00,0.00,11,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00
-1,0,235,910,-1,-1,675,0,999,0,3,6.00,-4.00,0.00,0.00,-1.00,-1.67,2,710,1,825,1,0,1,0,1,0,0,0,2715,1,1,4,0.00
1,0,295,925,-1,1,630,0,800,0,2,6.00,-4.00,0.00,0.00,0.00,-0.67,2,655,-2,670,1,0,0,0,1,0,0,0,2220,0,2,3,0.00
3,1,1200,1530,1530,3,330,0,999,1,1,6.00,0.00,0.00,0.00,-3.00,0.00,1,630,2,705,1,0,0,0,0,0,0,0,3675,0,3,4,0.00
5,0,430,800,-1,5,370,0,790,0,2,6.00,-0.75,0.00,0.00,0.00,-0.67,5,590,11,0,0,0,0,0,0,0,0,0,590,0,0,1,0.50
-1,0,416,575,-1,-1,159,0,731,0,5,6.00,-1.00,0.00,0.00,-3.00,-3.00,-1,545,1,395,1,0,0,0,0,0,1,0,2940,3,2,5,4.00
-3,0,1195,1750,-1,-3,555,1,570,0,3,3.00,0.00,0.00,-2.50,-1.00,-2.00,1,510,5,535,1,0,1,0,0,0,0,0,1685,1,0,4,7.00
5,1,1060,1905,1530,1,845,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,2,155,2,370,1,0,1,0,0,0,0,0,1505,1,1,3,0.00
2,0,335,780,-1,2,445,0,999,0,2,6.00,-3.50,0.00,0.00,0.00,-0.67,1,154,11,0,0,0,0,0,0,0,1,0,154,0,0,1,0.00
5,0,730,1095,-1,5,365,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,3,780,4,455,1,0,0,0,1,0,0,0,2485,0,0,3,0.00
5,1,1060,1905,1530,0,845,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,-1,495,3,545,1,0,1,0,0,0,0,0,1740,0,0,4,3.50
4,0,525,645,-1,4,120,0,600,0,3,6.00,0.00,0.00,-1.00,0.00,-1.33,5,631,5,168,0,0,0,0,0,0,0,0,1654,0,0,3,2.00
-7,0,330,800,-1,-7,470,0,999,0,8,6.00,-2.50,0.00,0.00,-4.00,-6.17,-3,135,-6,830,1,0,0,0,0,0,1,0,2225,1,2,4,3.00
4,1,1155,1925,1530,-1,770,0,999,0,3,6.00,0.00,0.00,0.00,-1.00,-1.33,4,430,3,735,1,0,1,0,0,0,0,0,1165,0,0,2,0.00
-9,0,1380,1890,-1,-9,510,1,680,0,8,3.00,0.00,0.00,-0.75,-3.00,-7.83,-7,745,0,675,0,0,1,0,0,0,0,0,3920,2,1,3,0.00
